offer_id,offer_uid,offer_type,offer_pledge,offer_pledge_alt,offer_url,img_logo_url,update_time,bank_id,bank_uid,bank_type,bank_name,img_logo_url_alt,idx_license,bank_url,bank_phone,bank_address,bank_code,currency,url_with_details,rateMin,rateMax,meta_rateRange,amountMin,amountMax,meta_amountRange,termMin,termMax,periodFromNotation,periodToNotation,meta_termUnit,product_hash,is_actual,start_time,end_time,rateRange,fullCreditRateMin,fullCreditRateMax,amountRange,termUnit,issuanceCostMin,issuanceCostMax,annualServiceMin,annualServiceMax,cashWithdrawalsAtAtms,cashWithdrawalsAtOtherBankAtms,initialFeeMin,initialFeeMax
19855,20115603,credit,На любые цели под залог недвижимости,На любые цели под залог недвижимости,https://www.banki.ru/products/credits/credit/201156/,https://cdn.banki.ru/cdn/bank/325_mobile_logo_url.png,13.11.2025 11:45,325,3251,bank,Альфа-Банк,https://cdn.banki.ru/cdn/bank/325_mobile_logo_url.png,1326,www.alfabank.ru,8 800 200-00-00,"107078, г. Москва, ул. Каланчевская, д. 27
",alfabank,RUB,https://www.banki.ru/products/credits/credit/201156/,17.8,30.4,"17,8–30,4%",500000,30000000,500 000–30 000 000 ₽,365,5475,1y,15y,4.0,9bd752071a26b6dbf49b6cf1e4fdd0bbc8521fd8cfe9c1992c42648ef178f68f,False,2025-11-17 14:44:06,2026-01-07 13:39:00,,,,,,,,,,,,,
19315,57103,credit,Под залог недвижимости,Под залог недвижимости,https://www.banki.ru/products/credits/credit/571/,https://cdn.banki.ru/cdn/bank/36119_mobile_logo_url.png,30.10.2025 14:56,36119,361191,bank,Ак Барс Банк,https://cdn.banki.ru/cdn/bank/36119_mobile_logo_url.png,2590,www.akbars.ru,8 800 200-53-03,"420066, г. Казань, ул. Декабристов, д. 1
",akbars,RUB,https://www.banki.ru/products/credits/credit/571/,22.0,23.0,22–23%,500000,20000000,500 000–20 000 000 ₽,1095,2555,3y,7y,4.0,a69bb07e2c22f55fbf342d86015543db404abc6ad3f7791636f5377cc39df4f4,False,2025-11-17 14:44:06,2026-01-07 13:39:00,,,,,,,,,,,,,
19385,446403,credit,На любые цели,На любые цели,https://www.banki.ru/products/credits/credit/4464/,https://cdn.banki.ru/cdn/bank/189319_mobile_logo_url.png,30.10.2025 17:34,189319,1893191,bank,Почтобанк,https://cdn.banki.ru/cdn/bank/189319_mobile_logo_url.png,1788,www.uralexpress.ru,+7 (342) 236-07-72,"614096, г. Пермь, ул. Ленина, д. 68
",pochtobank,RUB,https://www.banki.ru/products/credits/credit/4464/,20.0,21.0,20–21%,100000,10000000,100 000–10 000 000 ₽,31,1825,3y,5y,4.0,5540927a89ebbe462169da20a8b83722ffaf79562a12b2e37f0811ed303855ed,False,2025-11-17 14:44:06,2026-01-07 13:39:00,,,,,,,,,,,,,
16993,438803,credit,Без справок,Без справок,https://www.banki.ru/products/credits/credit/4388/,https://cdn.banki.ru/cdn/bank/95970_mobile_logo_url.png,23.12.2025 15:10,95970,959701,bank,Уральский банк реконструкции и развития (УБРиР),https://cdn.banki.ru/cdn/bank/95970_mobile_logo_url.png,429,www.ubrr.ru,8 800 100-02-00,"620063, г. Екатеринбург, ул. 8 Марта, д. 51",ubrr,RUB,https://www.banki.ru/products/credits/credit/4388/,18.4,37.0,,100000,700000,,1095,1825,5y,5y,,389df3e43d3fc67db1739f59211051b95e2530eb380ef49d6b6aef94c67383a5,True,2026-01-07 13:39:00,,"18,4–37%",,,100 000–700 000 ₽,4,,,,,,,,
19337,298003,credit,Под залог,Под залог,https://www.banki.ru/products/credits/credit/2980/,https://cdn.banki.ru/cdn/bank/17111_mobile_logo_url.png,22.12.2025 13:43,17111,171111,bank,Банк Финсервис,https://cdn.banki.ru/cdn/bank/17111_mobile_logo_url.png,3388,www.finsb.ru,8 800 200-07-67,"121151, г. Москва, наб. Тараса Шевченко, д. 23А",finservice,RUB,https://www.banki.ru/products/credits/credit/2980/,20.5,23.5,,500000,100000000,,183,3650,6m,10y,,8001861096f4ffe55691d1ec64c14c164549120a0ed4a13320d908139f3a6af5,True,2026-01-07 13:39:00,,"20,5–23,5%",,,500 000–100 000 000 ₽,4,,,,,,,,
17012,446803,credit,На любые цели (под поручительство),На любые цели (под поручительство),https://www.banki.ru/products/credits/credit/4468/,https://cdn.banki.ru/cdn/bank/17111_mobile_logo_url.png,22.12.2025 13:51,17111,171111,bank,Банк Финсервис,https://cdn.banki.ru/cdn/bank/17111_mobile_logo_url.png,3388,www.finsb.ru,8 800 200-07-67,"121151, г. Москва, наб. Тараса Шевченко, д. 23А",finservice,RUB,https://www.banki.ru/products/credits/credit/4468/,23.0,28.0,,1500001,100000000,,183,1825,1m3y,5y,,53e05d60b3e74b19a8e47133aaa420f65ddeaed30f30e9be7ffb3b16b027f16b,True,2026-01-07 13:39:00,,23–28%,,,1 500 001–100 000 000 ₽,4,,,,,,,,
16812,272703,credit,На любые цели,На любые цели,https://www.banki.ru/products/credits/credit/2727/,https://cdn.banki.ru/cdn/bank/17111_mobile_logo_url.png,22.12.2025 13:49,17111,171111,bank,Банк Финсервис,https://cdn.banki.ru/cdn/bank/17111_mobile_logo_url.png,3388,www.finsb.ru,8 800 200-07-67,"121151, г. Москва, наб. Тараса Шевченко, д. 23А",finservice,RUB,https://www.banki.ru/products/credits/credit/2727/,24.0,29.0,,50000,1500000,,183,1825,1m3y,5y,,17fcf68922a473bd8add2498a02492a99ee0af0cba33d15c8e144e5b9c2ca2d9,True,2026-01-07 13:39:00,,24–29%,,,50 000–1 500 000 ₽,4,,,,,,,,
16989,433103,credit,Наличными ,Наличными ,https://www.banki.ru/products/credits/credit/4331/,https://cdn.banki.ru/cdn/bank/327_mobile_logo_url.png,25.12.2025 15:47,327,3271,bank,ВТБ,https://cdn.banki.ru/cdn/bank/327_mobile_logo_url.png,1000,www.vtb.ru,8 800 200-77-99,"190000, г. Санкт-Петербург, ул. Большая Морская, д. 29",vtb,RUB,https://www.banki.ru/products/credits/credit/4331/,24.6,43.0,,100001,7000000,,183,1825,6m,5y,,940afb6f5f278163ec9a2bee30e9cd5d30e0cbeda45d73d144d386723532b134,True,2026-01-07 13:39:00,,"24,6–43%",,,100 001–7 000 000 ₽,4,,,,,,,,
16731,103,credit,На любые цели,На любые цели,https://www.banki.ru/products/credits/credit/1/,https://cdn.banki.ru/cdn/bank/322_mobile_logo_url.png,23.12.2025 14:58,322,3221,bank,Сбербанк,https://cdn.banki.ru/cdn/bank/322_mobile_logo_url.png,1481,www.sberbank.ru,8 800 555-55-50,"117997, г. Москва, ул. Вавилова, д. 19",sberbank,RUB,https://www.banki.ru/products/credits/credit/1/,21.4,44.5,,10000,30000000,,31,1825,1m,5y,,bbbcf197fc90193394d878b3b58e92587fc0b4b6b6d95c549e93eebf2cb3e692,True,2026-01-07 13:39:00,,"21,4–44,5%",,,10 000–30 000 000 ₽,4,,,,,,,,
19506,20111403,credit,Под залог недвижимости,Под залог недвижимости,https://www.banki.ru/products/credits/credit/201114/,https://cdn.banki.ru/cdn/bank/351_mobile_logo_url.png,12.11.2025 16:07,351,3511,bank,Русский Стандарт,https://cdn.banki.ru/cdn/bank/351_mobile_logo_url.png,2289,www.rsb.ru,+7 (495) 748-07-48,"105187, г. Москва, ул. Ткацкая, д. 36
",rsb,RUB,https://www.banki.ru/products/credits/credit/201114/,24.9,33.0,,500000,10000000,,183,3650,6m,10y,,a780bd164e89ceeb661271252452614948e7685d5291b166df70406f64948d34,True,2026-01-07 13:39:00,,"24,9–33%",,,500 000–10 000 000 ₽,4,,,,,,,,
16741,17903,credit,Образовательный,Образовательный,https://www.banki.ru/products/credits/credit/179/,https://cdn.banki.ru/cdn/bank/322_mobile_logo_url.png,07.11.2025 12:22,322,3221,bank,Сбербанк,https://cdn.banki.ru/cdn/bank/322_mobile_logo_url.png,1481,www.sberbank.ru,8 800 555-55-50,"117997, г. Москва, ул. Вавилова, д. 19
",sberbank,RUB,https://www.banki.ru/products/credits/credit/179/,3.0,3.0,,10000,10000000,,5475,5475,15y,15y,,1f7b695e4af0be3d718885969b33bf56d21d8cdc561d7dabe9dbc3463b6af83e,True,2026-01-07 13:39:00,,3%,,,10 000–10 000 000 ₽,4,,,,,,,,
16731,103,credit,На любые цели,На любые цели,https://www.banki.ru/products/credits/credit/1/,https://cdn.banki.ru/cdn/bank/322_mobile_logo_url.png,12.11.2025 12:44,322,3221,bank,Сбербанк,https://cdn.banki.ru/cdn/bank/322_mobile_logo_url.png,1481,www.sberbank.ru,8 800 555-55-50,"117997, г. Москва, ул. Вавилова, д. 19
",sberbank,RUB,https://www.banki.ru/products/credits/credit/1/,21.9,44.5,,10000,30000000,,31,1825,1m,5y,,d97999f8e726e11185111e39f593184b675b2a23a99cb582f47c09bbcad6c21b,True,2026-01-07 13:39:00,,"21,9–44,5%",,,10 000–30 000 000 ₽,4,,,,,,,,
16902,370903,credit,Газификация жилья,Газификация жилья,https://www.banki.ru/products/credits/credit/3709/,https://cdn.banki.ru/cdn/bank/191120_modern_logo_url.svg,12.11.2025 17:36,191120,1911201,bank,Банк «Левобережный»,https://cdn.banki.ru/cdn/bank/191120_modern_logo_url.svg,1343,www.nskbl.ru,8 800 333-35-55,"630102, г. Новосибирск, ул. Кирова, д. 48
",levoberezhny,RUB,https://www.banki.ru/products/credits/credit/3709/,9.0,9.0,,5000,200000,,183,1825,6m,5y,,16c6fb18a942bedd66d5a55a27ad46802a49bfd4eba168a14bade8e3ffb9c683,True,2026-01-07 13:39:00,,9%,,,5 000–200 000 ₽,4,,,,,,,,
17311,527303,credit,На любые цели — авто,На любые цели — авто,https://www.banki.ru/products/credits/credit/5273/,https://cdn.banki.ru/cdn/bank/191120_modern_logo_url.svg,12.11.2025 17:34,191120,1911201,bank,Банк «Левобережный»,https://cdn.banki.ru/cdn/bank/191120_modern_logo_url.svg,1343,www.nskbl.ru,8 800 333-35-55,"630102, г. Новосибирск, ул. Кирова, д. 48
",levoberezhny,RUB,https://www.banki.ru/products/credits/credit/5273/,15.9,25.9,,5000,2000000,,183,2555,6m,7y,,c29bf8cce3be7be7624227e649246c5e36be4275b13bb43d2bed5b18e577b0d3,True,2026-01-07 13:39:00,,"15,9–25,9%",,,5 000–2 000 000 ₽,4,,,,,,,,
16940,397503,credit,На любые цели Акционный,На любые цели Акционный,https://www.banki.ru/products/credits/credit/3975/,https://cdn.banki.ru/cdn/bank/191120_modern_logo_url.svg,12.11.2025 17:33,191120,1911201,bank,Банк «Левобережный»,https://cdn.banki.ru/cdn/bank/191120_modern_logo_url.svg,1343,www.nskbl.ru,8 800 333-35-55,"630102, г. Новосибирск, ул. Кирова, д. 48
",levoberezhny,RUB,https://www.banki.ru/products/credits/credit/3975/,16.5,33.9,,5000,2000000,,183,1825,6m,5y,,f5a9c9b108c44726a4f306280dfff354fbd000fec424dc5e29feb3ac42fe0303,True,2026-01-07 13:39:00,,"16,5–33,9%",,,5 000–2 000 000 ₽,4,,,,,,,,
19778,20115203,credit,Под залог недвижимости,Под залог недвижимости,https://www.banki.ru/products/credits/credit/201152/,https://cdn.banki.ru/cdn/bank/191120_modern_logo_url.svg,12.11.2025 17:40,191120,1911201,bank,Банк «Левобережный»,https://cdn.banki.ru/cdn/bank/191120_modern_logo_url.svg,1343,www.nskbl.ru,8 800 333-35-55,"630102, г. Новосибирск, ул. Кирова, д. 48
",levoberezhny,RUB,https://www.banki.ru/products/credits/credit/201152/,19.0,23.0,,300000,20000000,,1095,9125,3y,25y,,da26fca9309120de142d0f8230d66e2b383e2220275f7a8a777d8cf1142bef5c,True,2026-01-07 13:39:00,,19–23%,,,300 000–20 000 000 ₽,4,,,,,,,,
17632,20103503,credit,Под залог авто,Под залог авто,https://www.banki.ru/products/credits/credit/201035/,https://cdn.banki.ru/cdn/bank/95970_mobile_logo_url.png,12.11.2025 18:03,95970,959701,bank,Уральский банк реконструкции и развития (УБРиР),https://cdn.banki.ru/cdn/bank/95970_mobile_logo_url.png,429,www.ubrr.ru,8 800 100-02-00,"620063, г. Екатеринбург, ул. 8 Марта, д. 51
",ubrr,RUB,https://www.banki.ru/products/credits/credit/201035/,16.4,37.0,,200000,5000000,,1460,3650,10y,10y,,4833eb49d1bc1b445d272a43a0f2821c90bd87e6febd43aabb0f9d3f8e1a7e0d,True,2026-01-07 13:39:00,,"16,4–37%",,,200 000–5 000 000 ₽,4,,,,,,,,
