date,rate_30,rate_31_90,rate_91_180,rate_181_1,rate_1,rate_1_3,rate_3_
2014-01,28.04,16.09,30.39,23.81,24.41,21.69,17.29
2014-02,28.25,15.35,23.72,22.58,22.77,20.99,17.21
2014-03,26.37,15.09,25.27,23.67,23.78,20.76,16.98
2014-04,23.52,15.99,23.17,20.58,20.97,20.84,16.96
2014-05,27.48,15.79,26.56,24.9,24.89,20.83,16.82
2014-06,28.08,14.8,23.4,24.09,23.91,20.73,16.65
2014-07,28.36,13.97,22.53,23.35,23.28,20.98,16.62
2014-08,29.51,14.78,25.94,23.1,23.82,20.73,16.49
2014-09,23.72,16.3,23.46,24.51,23.93,21.08,16.76
2014-10,25.33,16.4,23.95,24.83,24.37,21.56,16.64
2014-11,24.31,16.02,25.78,25.08,24.59,21.45,16.74
2014-12,25.32,17.99,25.44,25.66,24.82,22.24,16.33
2015-01,23.69,19.94,27.0,33.55,29.08,29.69,17.36
2015-02,27.11,18.83,28.85,31.57,28.73,29.28,18.47
2015-03,21.36,19.44,28.18,28.91,27.31,28.7,19.73
2015-04,21.04,19.38,27.22,27.55,26.2,25.23,19.14
2015-05,18.62,22.64,27.75,29.63,28.62,24.82,18.95
2015-06,19.67,21.56,26.46,27.18,26.45,22.1,18.54
2015-07,21.6,19.97,25.03,27.18,26.29,21.97,18.26
2015-08,18.3,19.58,25.91,26.28,25.71,21.75,17.78
2015-09,18.83,19.25,26.3,25.31,24.94,21.94,17.29
2015-10,21.97,18.04,20.44,26.82,25.34,21.79,17.11
2015-11,19.99,20.08,20.64,26.24,25.11,21.73,16.9
2015-12,18.21,18.21,20.77,25.37,24.24,20.67,16.57
2016-01,17.74,20.24,22.37,26.3,25.43,21.3,17.09
2016-02,18.49,18.41,20.58,24.64,23.65,20.63,15.89
2016-03,20.26,19.4,22.73,24.47,23.94,19.95,16.81
2016-04,20.04,17.66,20.12,22.26,21.65,19.38,16.89
2016-05,18.05,18.6,21.46,23.97,23.15,19.86,16.94
2016-06,17.91,18.35,18.6,22.94,21.88,19.53,16.76
2016-07,18.66,18.67,18.81,23.75,22.9,19.41,16.63
2016-08,18.1,17.64,20.41,24.07,23.45,18.63,16.28
2016-09,18.76,18.29,20.97,24.02,23.28,18.73,15.96
2016-10,17.37,17.67,21.54,23.95,23.23,18.44,15.82
2016-11,18.76,17.53,21.62,22.97,22.51,18.12,15.33
2016-12,18.63,16.12,20.09,21.95,21.3,17.75,14.84
2017-01,18.26,18.17,22.81,22.76,22.4,18.08,15.58
2017-02,18.22,17.7,23.33,21.18,21.06,17.87,15.45
2017-03,18.62,16.13,20.29,20.62,20.37,17.64,15.1
2017-04,17.81,16.42,20.53,20.87,20.57,17.54,14.86
2017-05,17.63,16.55,19.55,20.31,20.07,17.28,14.77
2017-06,17.47,18.94,20.37,19.96,19.89,16.82,14.6
2017-07,15.72,17.1,21.11,20.55,20.26,16.73,14.43
2017-08,17.77,17.51,20.49,20.14,20.07,16.42,13.99
2017-09,16.71,16.77,20.0,20.2,20.02,16.15,13.45
2017-10,15.81,15.31,20.31,18.58,18.52,15.4,13.23
2017-11,18.63,16.56,19.25,19.05,19.0,15.71,12.88
2017-12,14.2,16.91,19.2,19.2,18.99,15.19,12.45
2018-01,17.3,16.62,21.13,19.01,18.99,15.91,12.99
2018-02,16.93,16.19,19.66,18.33,18.29,16.14,12.91
2018-03,14.84,15.7,18.23,17.45,17.41,15.58,12.93
2018-04,15.74,15.97,18.03,16.03,16.14,15.6,12.8
2018-05,15.35,16.98,19.57,17.73,17.79,15.72,12.7
2018-06,15.29,15.57,18.31,17.78,17.72,15.63,12.5
2018-07,12.68,15.78,17.04,17.23,17.12,15.39,12.47
2018-08,13.28,15.04,18.71,17.75,17.74,15.33,12.41
2018-09,13.97,14.1,18.54,17.57,17.5,15.01,12.04
2018-10,12.59,14.64,19.02,18.02,17.99,15.21,12.05
2018-11,13.08,15.26,17.49,17.95,17.82,14.89,11.97
2018-12,13.91,12.0,18.43,18.32,17.87,14.97,12.08
2019-01,12.75,16.68,18.84,15.82,15.95,15.08,12.72
